Step,HitCount,MissCount,AMAT,MissRatio
1830,1372,458,0.00047172,0.250273
1840,1380,460,0.0004738,0.25
1850,1387,463,0.00047687,0.25027
1860,1395,465,0.00047895,0.25
1870,1402,468,0.00048202,0.250267
1880,1410,470,0.0004841,0.25
1890,1417,473,0.00048717,0.250265
1900,1425,475,0.00048925,0.25
1910,1432,478,0.00049232,0.250262
1920,1440,480,0.0004944,0.25
1930,1447,483,0.00049747,0.250259
1940,1455,485,0.00049955,0.25
1950,1462,488,0.00050262,0.250256
1960,1470,490,0.0005047,0.25
1970,1477,493,0.00050777,0.250254
1980,1485,495,0.00050985,0.25
1990,1492,498,0.00051292,0.250251
2000,1500,500,0.000515,0.25
2010,1507,503,0.00051807,0.250249
2020,1515,505,0.00052015,0.25
2030,1522,508,0.00052322,0.250246
2040,1530,510,0.0005253,0.25
2050,1537,513,0.00052837,0.250244
2060,1545,515,0.00053045,0.25
2070,1552,518,0.00053352,0.250242
2080,1560,520,0.0005356,0.25
2090,1567,523,0.00053867,0.250239
2100,1575,525,0.00054075,0.25
2110,1582,528,0.00054382,0.250237
2120,1590,530,0.0005459,0.25
2130,1597,533,0.00054897,0.250235
2140,1605,535,0.00055105,0.25
2150,1612,538,0.00055412,0.250233
2160,1620,540,0.0005562,0.25
2170,1627,543,0.00055927,0.25023
2180,1635,545,0.00056135,0.25
2190,1642,548,0.00056442,0.250228
2200,1650,550,0.0005665,0.25
2210,1657,553,0.00056957,0.250226
2220,1665,555,0.00057165,0.25
2230,1672,558,0.00057472,0.250224
2240,1680,560,0.0005768,0.25
2250,1687,563,0.00057987,0.250222
2260,1695,565,0.00058195,0.25
2270,1702,568,0.00058502,0.25022
2280,1710,570,0.0005871,0.25
2290,1717,573,0.00059017,0.250218
2300,1725,575,0.00059225,0.25
2310,1732,578,0.00059532,0.250216
2320,1740,580,0.0005974,0.25
2330,1747,583,0.00060047,0.250215
2340,1755,585,0.00060255,0.25
2350,1762,588,0.00060562,0.250213
2360,1770,590,0.0006077,0.25
2370,1777,593,0.00061077,0.250211
2380,1785,595,0.00061285,0.25
2390,1792,598,0.00061592,0.250209
2400,1800,600,0.000618,0.25
2410,1807,603,0.00062107,0.250207
2420,1815,605,0.00062315,0.25
2430,1822,608,0.00062622,0.250206
2440,1830,610,0.0006283,0.25
2450,1837,613,0.00063137,0.250204
2460,1845,615,0.00063345,0.25
2470,1852,618,0.00063652,0.250202
2480,1860,620,0.0006386,0.25
2490,1867,623,0.00064167,0.250201
2500,1875,625,0.00064375,0.25
2510,1882,628,0.00064682,0.250199
2520,1890,630,0.0006489,0.25
2530,1897,633,0.00065197,0.250198
2540,1905,635,0.00065405,0.25
2550,1912,638,0.00065712,0.250196
2560,1920,640,0.0006592,0.25
2570,1927,643,0.00066227,0.250195
2580,1935,645,0.00066435,0.25
2590,1942,648,0.00066742,0.250193
2600,1950,650,0.0006695,0.25
2610,1957,653,0.00067257,0.250192
2620,1965,655,0.00067465,0.25
2630,1972,658,0.00067772,0.25019
2640,1980,660,0.0006798,0.25
2650,1987,663,0.00068287,0.250189
2660,1995,665,0.00068495,0.25
2670,2002,668,0.00068802,0.250187
2680,2010,670,0.0006901,0.25
2690,2017,673,0.00069317,0.250186
2700,2025,675,0.00069525,0.25
2710,2032,678,0.00069832,0.250185
2720,2040,680,0.0007004,0.25
2730,2047,683,0.00070347,0.250183
2740,2055,685,0.00070555,0.25
